layout,tile_count,total_cells,capacity,score_min,score_max
NewLayout_L110.json,17,57,19,26.58,37.78
NewLayout_L110.json,18,57,19,29.07,39.05
NewLayout_L110.json,19,57,19,26.27,41.0
NewLayout_L111.json,2,72,24,12.71,12.71
NewLayout_L111.json,3,72,24,12.71,12.71
NewLayout_L111.json,4,72,24,12.71,12.88
NewLayout_L111.json,5,72,24,12.71,15.95
NewLayout_L111.json,6,72,24,12.71,19.13
NewLayout_L111.json,7,72,24,12.71,24.85
NewLayout_L111.json,8,72,24,12.71,27.19
NewLayout_L111.json,9,72,24,12.71,29.11
NewLayout_L111.json,10,72,24,13.82,33.71
NewLayout_L111.json,11,72,24,13.27,35.63
NewLayout_L111.json,12,72,24,19.38,39.32
NewLayout_L111.json,13,72,24,18.9,42.83
NewLayout_L111.json,14,72,24,27.23,44.82
NewLayout_L111.json,15,72,24,28.69,48.22
NewLayout_L111.json,16,72,24,33.3,51.06
NewLayout_L111.json,17,72,24,35.18,54.22
NewLayout_L111.json,18,72,24,38.68,57.62
NewLayout_L111.json,19,72,24,41.38,59.76
NewLayout_L111.json,20,72,24,50.05,61.8
NewLayout_L111.json,21,72,24,49.92,65.7
NewLayout_L111.json,22,72,24,55.55,66.61
NewLayout_L111.json,23,72,24,54.78,69.58
NewLayout_L111.json,24,72,24,58.98,71.78
NewLayout_L115.json,2,78,26,12.93,17.27
NewLayout_L115.json,3,78,26,12.93,22.39
NewLayout_L115.json,4,78,26,12.93,26.27
NewLayout_L115.json,5,78,26,16.47,31.29
NewLayout_L115.json,6,78,26,14.27,34.43
NewLayout_L115.json,7,78,26,25.99,39.7
NewLayout_L115.json,8,78,26,32.87,46.73
NewLayout_L115.json,9,78,26,34.99,49.93
NewLayout_L115.json,10,78,26,39.56,54.8
NewLayout_L115.json,11,78,26,45.73,61.52
NewLayout_L115.json,12,78,26,49.34,67.9
NewLayout_L115.json,13,78,26,55.0,68.84
NewLayout_L115.json,14,78,26,53.95,73.14
NewLayout_L115.json,15,78,26,65.74,80.3
NewLayout_L115.json,16,78,26,69.94,85.77
NewLayout_L115.json,17,78,26,78.07,90.47
NewLayout_L115.json,18,78,26,76.89,94.18
NewLayout_L115.json,19,78,26,79.8,101.63
NewLayout_L115.json,20,78,26,85.53,104.54
NewLayout_L115.json,21,78,26,88.42,108.74
NewLayout_L115.json,22,78,26,98.23,115.59
NewLayout_L115.json,23,78,26,104.16,120.54
NewLayout_L115.json,24,78,26,106.39,124.81
NewLayout_L115.json,25,78,26,115.86,127.93
NewLayout_L116.json,2,84,28,8.62,8.91
NewLayout_L116.json,3,84,28,8.62,17.49
NewLayout_L116.json,4,84,28,8.71,20.95
NewLayout_L116.json,5,84,28,11.06,24.99
NewLayout_L116.json,6,84,28,12.3,28.7
NewLayout_L116.json,7,84,28,19.01,34.03
NewLayout_L116.json,8,84,28,23.74,37.84
NewLayout_L116.json,9,84,28,28.84,42.92
NewLayout_L116.json,10,84,28,32.75,47.42
NewLayout_L116.json,11,84,28,36.18,52.65
NewLayout_L116.json,12,84,28,36.15,56.56
NewLayout_L116.json,13,84,28,49.96,61.63
NewLayout_L116.json,14,84,28,46.98,66.92
NewLayout_L116.json,15,84,28,50.18,69.94
NewLayout_L116.json,16,84,28,53.01,74.88
NewLayout_L116.json,17,84,28,61.72,80.14
NewLayout_L116.json,18,84,28,73.44,85.14
NewLayout_L116.json,19,84,28,65.05,89.55
NewLayout_L116.json,20,84,28,70.21,94.82
NewLayout_L116.json,21,84,28,78.96,100.53
NewLayout_L116.json,22,84,28,81.37,102.37
NewLayout_L116.json,23,84,28,92.53,107.82
NewLayout_L116.json,24,84,28,99.92,114.28
NewLayout_L116.json,25,84,28,99.62,115.77
NewLayout_L117.json,2,66,22,21.55,22.18
NewLayout_L117.json,3,66,22,21.55,24.05
NewLayout_L117.json,4,66,22,22.38,27.47
NewLayout_L117.json,5,66,22,23.38,29.66
NewLayout_L117.json,6,66,22,26.24,34.38
NewLayout_L117.json,7,66,22,26.31,37.66
NewLayout_L117.json,8,66,22,28.81,38.8
NewLayout_L117.json,9,66,22,29.37,40.08
NewLayout_L117.json,10,66,22,32.2,45.2
NewLayout_L117.json,11,66,22,32.13,46.54
NewLayout_L117.json,12,66,22,36.87,48.79
NewLayout_L117.json,13,66,22,36.98,52.98
NewLayout_L117.json,14,66,22,39.9,55.29
NewLayout_L117.json,15,66,22,45.42,55.57
NewLayout_L117.json,16,66,22,48.43,56.7
NewLayout_L117.json,17,66,22,51.08,63.59
NewLayout_L117.json,18,66,22,50.39,62.58
NewLayout_L117.json,19,66,22,52.85,65.57
NewLayout_L117.json,20,66,22,55.7,66.97
NewLayout_L117.json,21,66,22,55.87,68.78
NewLayout_L117.json,22,66,22,63.15,71.08
NewLayout_L118.json,2,63,21,8.83,12.92
NewLayout_L118.json,3,63,21,10.91,20.13
NewLayout_L118.json,4,63,21,15.64,31.48
NewLayout_L118.json,5,63,21,22.61,38.8
NewLayout_L118.json,6,63,21,28.1,48.21
NewLayout_L118.json,7,63,21,30.02,56.86
NewLayout_L118.json,8,63,21,43.91,66.12
NewLayout_L118.json,9,63,21,55.83,74.87
NewLayout_L118.json,10,63,21,50.2,85.74
NewLayout_L118.json,11,63,21,63.27,95.74
NewLayout_L118.json,12,63,21,73.79,106.13
NewLayout_L118.json,13,63,21,69.21,117.59
NewLayout_L118.json,14,63,21,87.95,124.61
NewLayout_L118.json,15,63,21,98.73,134.26
NewLayout_L118.json,16,63,21,108.53,146.35
NewLayout_L118.json,17,63,21,112.1,152.76
NewLayout_L118.json,18,63,21,124.13,165.5
NewLayout_L118.json,19,63,21,134.55,176.68
NewLayout_L118.json,20,63,21,151.58,181.43
NewLayout_L118.json,21,63,21,155.18,191.38
NewLayout_L119.json,2,114,38,35.08,38.85
NewLayout_L119.json,3,114,38,35.08,41.39
NewLayout_L119.json,4,114,38,37.38,44.33
NewLayout_L119.json,5,114,38,41.87,49.69
NewLayout_L119.json,6,114,38,43.96,50.06
NewLayout_L119.json,7,114,38,44.26,53.71
NewLayout_L119.json,8,114,38,49.12,58.74
NewLayout_L119.json,9,114,38,53.84,61.9
NewLayout_L119.json,10,114,38,54.27,66.94
NewLayout_L119.json,11,114,38,59.18,70.78
NewLayout_L119.json,12,114,38,63.29,75.98
NewLayout_L119.json,13,114,38,69.76,82.61
NewLayout_L119.json,14,114,38,64.33,86.85
NewLayout_L119.json,15,114,38,73.81,90.47
NewLayout_L119.json,16,114,38,82.28,94.65
NewLayout_L119.json,17,114,38,70.29,103.03
NewLayout_L119.json,18,114,38,87.16,105.87
NewLayout_L119.json,19,114,38,89.74,111.58
NewLayout_L119.json,20,114,38,94.32,114.78
NewLayout_L119.json,21,114,38,99.7,117.6
NewLayout_L119.json,22,114,38,101.42,128.87
NewLayout_L119.json,23,114,38,110.85,129.85
NewLayout_L119.json,24,114,38,111.24,134.65
NewLayout_L119.json,25,114,38,115.47,137.38
NewLayout_L12.json,2,54,18,2.38,4.45
NewLayout_L12.json,3,54,18,2.38,10.92
NewLayout_L12.json,4,54,18,6.14,17.23
NewLayout_L12.json,5,54,18,9.33,20.88
NewLayout_L12.json,6,54,18,12.89,25.62
NewLayout_L12.json,7,54,18,19.43,30.22
NewLayout_L12.json,8,54,18,20.49,35.69
NewLayout_L12.json,9,54,18,27.36,40.61
NewLayout_L12.json,10,54,18,28.21,45.38
NewLayout_L12.json,11,54,18,36.0,49.22
NewLayout_L12.json,12,54,18,36.8,55.8
NewLayout_L12.json,13,54,18,45.12,58.66
NewLayout_L12.json,14,54,18,48.05,63.47
NewLayout_L12.json,15,54,18,52.45,68.1
NewLayout_L12.json,16,54,18,60.12,73.02
NewLayout_L12.json,17,54,18,63.97,77.95
NewLayout_L12.json,18,54,18,66.62,81.35
NewLayout_L120.json,2,63,21,13.44,13.62
NewLayout_L120.json,3,63,21,13.44,13.93
NewLayout_L120.json,4,63,21,13.44,14.68
NewLayout_L120.json,5,63,21,13.44,16.95
NewLayout_L120.json,6,63,21,13.44,17.51
NewLayout_L120.json,7,63,21,14.26,19.0
NewLayout_L120.json,8,63,21,14.62,21.88
NewLayout_L120.json,9,63,21,17.16,24.17
NewLayout_L120.json,10,63,21,17.24,27.07
NewLayout_L120.json,11,63,21,18.19,28.47
NewLayout_L120.json,12,63,21,21.75,31.3
NewLayout_L120.json,13,63,21,17.37,33.88
NewLayout_L120.json,14,63,21,19.0,35.54
NewLayout_L120.json,15,63,21,25.31,37.15
NewLayout_L120.json,16,63,21,26.89,38.42
NewLayout_L120.json,17,63,21,30.97,40.8
NewLayout_L120.json,18,63,21,31.0,42.69
NewLayout_L120.json,19,63,21,27.0,43.84
NewLayout_L120.json,20,63,21,36.59,47.05
NewLayout_L120.json,21,63,21,33.57,47.97
NewLayout_L13.json,2,72,24,18.62,18.62
NewLayout_L13.json,3,72,24,18.62,18.62
NewLayout_L13.json,4,72,24,18.62,18.88
NewLayout_L13.json,5,72,24,18.62,19.02
NewLayout_L13.json,6,72,24,18.62,19.56
NewLayout_L13.json,7,72,24,18.62,20.41
NewLayout_L13.json,8,72,24,18.62,20.83
NewLayout_L13.json,9,72,24,18.62,21.82
NewLayout_L13.json,10,72,24,18.62,25.23
NewLayout_L13.json,11,72,24,18.62,27.96
NewLayout_L13.json,12,72,24,18.62,30.03
NewLayout_L13.json,13,72,24,18.62,30.54
NewLayout_L13.json,14,72,24,18.62,31.81
NewLayout_L13.json,15,72,24,18.62,35.29
NewLayout_L13.json,16,72,24,20.37,35.68
NewLayout_L13.json,17,72,24,25.3,38.77
NewLayout_L13.json,18,72,24,22.18,39.87
NewLayout_L13.json,19,72,24,28.07,39.92
NewLayout_L13.json,20,72,24,27.55,41.93
NewLayout_L13.json,21,72,24,29.75,43.78
NewLayout_L13.json,22,72,24,33.4,45.27
NewLayout_L13.json,23,72,24,35.83,46.73
NewLayout_L13.json,24,72,24,36.48,47.05
NewLayout_L14.json,2,120,40,51.1,51.1
NewLayout_L14.json,3,120,40,51.1,51.1
NewLayout_L14.json,4,120,40,51.1,51.33
NewLayout_L14.json,5,120,40,51.1,56.52
NewLayout_L14.json,6,120,40,51.1,61.03
NewLayout_L14.json,7,120,40,51.1,66.27
NewLayout_L14.json,8,120,40,51.1,71.1
NewLayout_L14.json,9,120,40,51.1,83.27
NewLayout_L14.json,10,120,40,57.58,90.79
NewLayout_L14.json,11,120,40,53.95,93.7
NewLayout_L14.json,12,120,40,62.47,103.28
NewLayout_L14.json,13,120,40,70.55,107.03
NewLayout_L14.json,14,120,40,80.21,113.84
NewLayout_L14.json,15,120,40,82.17,125.66
NewLayout_L14.json,16,120,40,96.12,127.91
NewLayout_L14.json,17,120,40,91.77,134.69
NewLayout_L14.json,18,120,40,109.0,145.42
NewLayout_L14.json,19,120,40,108.64,151.81
NewLayout_L14.json,20,120,40,108.85,153.82
NewLayout_L14.json,21,120,40,123.34,163.1
NewLayout_L14.json,22,120,40,137.01,171.54
NewLayout_L14.json,23,120,40,130.86,181.17
NewLayout_L14.json,24,120,40,145.19,187.64
NewLayout_L14.json,25,120,40,128.87,192.18
NewLayout_L15.json,2,72,24,14.51,14.51
NewLayout_L15.json,3,72,24,14.51,14.51
NewLayout_L15.json,4,72,24,14.51,14.82
NewLayout_L15.json,5,72,24,14.51,16.5
NewLayout_L15.json,6,72,24,14.51,16.83
NewLayout_L15.json,7,72,24,14.51,17.29
NewLayout_L15.json,8,72,24,14.51,19.14
NewLayout_L15.json,9,72,24,14.51,22.21
NewLayout_L15.json,10,72,24,14.51,24.51
NewLayout_L15.json,11,72,24,14.51,25.46
NewLayout_L15.json,12,72,24,14.51,27.66
NewLayout_L15.json,13,72,24,16.32,28.69
